# ----------------------------------------
# 기술 개요
# 계정: yumpick
# 속성: yumpick
# ----------------------------------------
#  
# 시작일: 20260723
# 종료일: 20260819
플랫폼,활성 사용자
"[""웹""]",85

#  
# 시작일: 20260723
# 종료일: 20260819
운영체제,활성 사용자
iOS,66
Android,17
Windows,2

#  
# 시작일: 20260723
# 종료일: 20260819
플랫폼 / 기기 카테고리,활성 사용자
web / mobile,82
web / desktop,2
web / tablet,1

#  
# 시작일: 20260723
# 종료일: 20260819
브라우저,활성 사용자
Safari,66
Android Webview,16
Edge,2
Chrome,1

#  
# 시작일: 20260723
# 종료일: 20260819
기기 카테고리,활성 사용자
mobile,82
desktop,2
tablet,1

#  
# 시작일: 20260723
# 종료일: 20260819
화면 해상도,활성 사용자
402x874,24
393x852,21
390x844,9
412x892,6
430x932,5
360x780,3
384x832,3
440x956,3
428x926,2
1024x1024,1
1280x800,1
1440x900,1
360x800,1
384x824,1
385x833,1
420x912,1
431x934,1
834x1194,1

#  
# 시작일: 20260723
# 종료일: 20260819
N일


#  
# 시작일: 20260723
# 종료일: 20260819
앱,버전,상태


#  
# 시작일: 20260819
# 종료일: 20260819
앱,비정상 종료가 발생하지 않은 사용자


# 시작일: 20260818
# 종료일: 20260818
앱,비정상 종료가 발생하지 않은 사용자


#  
# 시작일: 20260723
# 종료일: 20260819
기기 모델,활성 사용자
