# ----------------------------------------
# 방문 페이지: 방문 페이지
# 계정: yumpick
# 속성: yumpick
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260723
# 종료일: 20260819
방문 페이지,세션수,활성 사용자,새 사용자 수,세션당 평균 참여 시간,주요 이벤트,총수익,세션 주요 이벤트 비율
,70,54,0,15.457142857142857,0,0,0
/signup,13,13,7,22.53846153846154,0,0,0
/invite/1e2e680778,10,10,10,14.3,0,0,0
/invite/d11e260676,9,9,9,4.888888888888889,0,0,0
/invite/eec43c574e,9,8,6,35.888888888888886,0,0,0
/,7,6,5,17.285714285714285,0,0,0
/invite/8e087d080a,5,5,5,17,0,0,0
/groups,4,4,2,84.5,0,0,0
/login,4,4,2,71.75,0,0,0
/groups/d42db786-d596-404b-98bc-1d77dcb16724,3,1,0,1,0,0,0
/invite/b1f314d3ab,3,2,1,11,0,0,0
/groups/8a61a7c9-6a7f-4f0d-9131-9ba2d833034d,2,2,0,14.5,0,0,0
/groups/ccfd349e-2a2d-473d-88d4-43fdf8a88f64,2,2,0,139,0,0,0
/invite/d5314ff71c,2,2,2,22,0,0,0
/session/12cd47ab-5bba-4a3b-80d2-603e7091abad,2,2,2,58,0,0,0
/groups/0ab783c3-633d-4558-b28f-55e7754b893a,1,1,0,16,0,0,0
/groups/8b9967c5-f0a6-4035-8fdf-f18bce182da2,1,1,0,58,0,0,0
/groups/aee62279-f72e-466a-9c65-1fade55d4615,1,1,0,1,0,0,0
/invite/70bdda66b4,1,1,1,94,0,0,0
/invite/926b8883fa,1,1,1,23,0,0,0
/invite/d134f5f09f,1,1,1,121,0,0,0
/session/e0b799ea-09ff-42e7-86ac-2c1061317fc9,1,1,0,25,0,0,0
