# ----------------------------------------
# 웹 또는 앱 트래픽 파악 개요
# 계정: yumpick
# 속성: yumpick
# ----------------------------------------
#  
# 시작일: 20260723
# 종료일: 20260819
국가 ID,활성 사용자
KR,81
US,3

# 시작일: 20260723
# 종료일: 20260819
국가,활성 사용자
KR,81
US,3

#  
# 시작일: 20260723
# 종료일: 20260819
시/군/구,활성 사용자
Seoul,53
Suwon-si,8
Busan,6
Goyang-si,5
Anyang-si,4
Pyeongtaek-si,4
Daejeon,2
Gwangju,2
Changwon-si,1
Chicago,1
Jeonju-si,1
Los Angeles,1
Osan-si,1
Pohang-si,1
Ulsan,1
Wellesley,1

#  
# 시작일: 20260723
# 종료일: 20260819
N일,활성 사용자당 평균 참여 시간
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,41.84705882352941

# 시작일: 20260723
# 종료일: 20260819
N일,활성 사용자당 참여 세션수
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0.25882352941176473

# 시작일: 20260723
# 종료일: 20260819
N일,세션당 평균 참여 시간
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,37.052083333333336

#  
# 시작일: 20260723
# 종료일: 20260819
이벤트 이름,이벤트 수
page_view,437
scroll,137
invite_click,117
user_engagement,72
session_start,63
first_visit,54
form_start,48
signup_complete,26
vote_click,26
prompt_submit,19
click,17
group_create,8
candidate_view,6
result_confirm,3

#  
# 시작일: 20260723
# 종료일: 20260819
페이지 제목 및 화면 클래스,조회수
yumpick,437

#  
# 시작일: 20260723
# 종료일: 20260819
N일,DAU/MAU,DAU/WAU,WAU/MAU
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,0,0,0
0008,0,0,0
0009,0,0,0
0010,0,0,0
0011,0,0,0
0012,0,0,0
0013,0,0,0
0014,0,0,0
0015,0,0,0
0016,0,0,0
0017,0,0,0
0018,0,0,0
0019,0,0,0
0020,0,0,0
0021,0,0,0
0022,0,0,0
0023,0,0,0
0024,0,0,0
0025,0,0,0
0026,0,0,0
0027,1,1,1

#  
# 시작일: 20260723
# 종료일: 20260819
언어,활성 사용자
Korean,71
English,12
Japanese,2
