# ----------------------------------------
# 이벤트: 이벤트 이름
# 계정: yumpick
# 속성: yumpick
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260723
# 종료일: 20260819
이벤트 이름,이벤트 수,총 사용자,활성 사용자당 이벤트 수,총수익
page_view,437,59,7.406779661016949,0
scroll,137,54,3.186046511627907,0
invite_click,117,71,1.8571428571428572,0
user_engagement,72,31,2.3225806451612905,0
session_start,63,55,1.1454545454545455,0
first_visit,54,54,1,0
form_start,48,38,1.263157894736842,0
signup_complete,26,26,1,0
vote_click,26,12,2.1666666666666665,0
prompt_submit,19,17,1.1176470588235294,0
click,17,9,1.8888888888888888,0
group_create,8,3,2.6666666666666665,0
candidate_view,6,6,1,0
result_confirm,3,3,1,0
