# ----------------------------------------
# 페이지 및 화면: 페이지 경로 및 화면 클래스
# 계정: yumpick
# 속성: yumpick
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260723
# 종료일: 20260819
페이지 경로 및 화면 클래스,조회수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/signup,48,66,0.7272727272727273,17.242424242424242,119,0,0
/groups,42,8,5.25,30.25,68,0,0
/,40,8,5,0,93,0,0
/invite/eec43c574e,38,23,1.6521739130434783,1.608695652173913,123,0,0
/groups/0ab783c3-633d-4558-b28f-55e7754b893a,26,11,2.3636363636363638,13,33,0,0
/invite/1e2e680778,25,18,1.3888888888888888,0.1111111111111111,85,0,0
/groups/d42db786-d596-404b-98bc-1d77dcb16724,19,4,4.75,16,37,0,0
/session/8dd470a1-6da0-497a-bb84-8f9491cdc884/vote,19,12,1.5833333333333333,32.75,68,0,0
/session/12cd47ab-5bba-4a3b-80d2-603e7091abad,17,10,1.7,32.1,30,0,0
/invite/8e087d080a,15,9,1.6666666666666667,0,52,0,0
/invite/d11e260676,14,12,1.1666666666666667,0,55,0,0
/groups/ccfd349e-2a2d-473d-88d4-43fdf8a88f64,13,8,1.625,6,13,0,0
/invite/d5314ff71c,11,6,1.8333333333333333,0.16666666666666666,34,0,0
/login,10,9,1.1111111111111112,7.444444444444445,17,0,0
/groups/8a61a7c9-6a7f-4f0d-9131-9ba2d833034d,9,5,1.8,4.6,11,0,0
/groups/8b59a2d0-601b-4563-9f56-522f134c01c0,7,4,1.75,10.75,11,0,0
/groups/8f9e1f0e-c8e4-462d-9625-8864cc8731ab,7,3,2.3333333333333335,3,7,0,0
/invite/70bdda66b4,7,4,1.75,0.25,21,0,0
/invite/b1f314d3ab,6,3,2,0,19,0,0
/session/e0b799ea-09ff-42e7-86ac-2c1061317fc9,6,4,1.5,27,14,0,0
/groups/8b9967c5-f0a6-4035-8fdf-f18bce182da2,5,3,1.6666666666666667,4.666666666666667,6,0,0
/invite/926b8883fa,5,4,1.25,3,18,0,0
/invite/d134f5f09f,4,2,2,0,12,0,0
/session/85a8974f-4ec1-4dff-beda-d8614eb54815,4,4,1,49.5,12,0,0
/session/c1222ca5-eaaf-4e58-91f4-91dbb371365a,4,3,1.3333333333333333,45.333333333333336,7,0,0
/groups/24b4fd54-9eeb-45cb-9d94-9937b8791296,3,2,1.5,2,3,0,0
/groups/48fa7f72-c679-4e59-bbf2-606fdba7a83e,3,2,1.5,5.5,6,0,0
/me,3,3,1,5,3,0,0
/session/426d2286-bb08-4972-9736-5364c560df07/vote,3,1,3,23,4,0,0
/session/c1222ca5-eaaf-4e58-91f4-91dbb371365a/vote,3,2,1.5,14,5,0,0
/groups/aee62279-f72e-466a-9c65-1fade55d4615,2,2,1,1,2,0,0
/session/233316b3-0c21-4f3d-9513-79d8bad50d8e,2,2,1,30,4,0,0
/session/233316b3-0c21-4f3d-9513-79d8bad50d8e/vote,2,2,1,8,3,0,0
/session/426d2286-bb08-4972-9736-5364c560df07,2,1,2,24,3,0,0
/session/85a8974f-4ec1-4dff-beda-d8614eb54815/vote,2,2,1,5.5,3,0,0
/session/8dd470a1-6da0-497a-bb84-8f9491cdc884,2,3,0.6666666666666666,53.333333333333336,6,0,0
/session/fe2a3663-3d16-458d-ad34-982818e23e3f/vote,2,2,1,42.5,10,0,0
/groups/ab5be0e3-d3be-4dc8-b0e8-916ac6e88618,1,1,1,3,1,0,0
/session/05138a07-f40f-4f91-b393-c86a5876c920/vote,1,1,1,1,1,0,0
/session/216cbb54-5b63-4977-a8ca-d1ef1a158e32/result,1,1,1,15,3,0,0
/session/216cbb54-5b63-4977-a8ca-d1ef1a158e32/vote,1,1,1,5,1,0,0
/session/426d2286-bb08-4972-9736-5364c560df07/result,1,1,1,2,2,0,0
/session/c1222ca5-eaaf-4e58-91f4-91dbb371365a/result,1,1,1,2,2,0,0
/session/fe2a3663-3d16-458d-ad34-982818e23e3f,1,2,0.5,29,3,0,0
/session/05138a07-f40f-4f91-b393-c86a5876c920,0,2,0,16,3,0,0
